assoc,ano,tmi
AMVE,2016,7.455731593662628
AMVE,2017,9.119746233148296
AMVE,2018,9.722897423432183
AMVE,2019,10.3295622233153
AMVE,2020,7.853146166683027
AMVE,2021,10.1
AMVE,2022,9.252879220395709
AMVE,2023,9.623176661264182
GRANFPOLIS,2010,9.394258229370209
GRANFPOLIS,2011,9.615384615384617
GRANFPOLIS,2012,8.725879682179341
GRANFPOLIS,2013,7.789343075756531
GRANFPOLIS,2014,8.85486018641811
GRANFPOLIS,2015,7.896399241945672
GRANFPOLIS,2016,7.233851866077716
GRANFPOLIS,2017,9.115770282588878
GRANFPOLIS,2018,7.60226861349101
GRANFPOLIS,2019,7.926187380023531
GRANFPOLIS,2020,8.38301043219076
GRANFPOLIS,2021,7.41858418206966
GRANFPOLIS,2022,7.963454534230509
GRANFPOLIS,2023,7.484747468394239
SC,2010,10.75510276441597
SC,2011,12.07133058984911
SC,2012,10.7804262605326
SC,2013,10.65936755902708
SC,2014,10.37197528745495
SC,2015,10.11098425237346
SC,2016,9.106933019976498
SC,2017,10.02705066406329
SC,2018,9.778232890602254
SC,2019,9.731814055024534
SC,2020,9.477704924729865
SC,2021,9.388795622707207
SC,2022,9.85743380855397
SC,2023,9.063194336795329
